range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.6484166856237678,-1.5027358241051538,-70.0,5.0,-0.6069937571330365,0.2209276599818337,0.05651323784551424,15,15
1.3710923739559315,-1.0192989641444872,-70.0,10.0,-1.2688316133743325,0.46181693956421943,0.23808769215047287,31,15
8.821868936543131,-0.4441647731545869,-70.0,7.0,-8.228053892610506,2.9947667028483846,1.075115374902778,200,16
