range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.5608039371808166,-0.3854897198012292,70.0,-4.0,0.5256996165914698,0.19133901260445008,-0.039119705119555724,13,16
1.0738478934562343,-1.0071164754872999,70.0,-5.0,1.0052470608638882,0.3658800082380409,-0.09359201075218619,24,15
1.5747729367674645,-0.8923857057576714,59.0,25.0,1.223374008333397,0.7350772639494327,0.6655278011729623,36,15
2.0948032261680547,-0.12410856557040062,54.0,25.0,1.5359482736748817,1.1159317416412184,0.8853020981319526,48,16
2.9506807555829684,-0.33978341858106514,53.0,25.0,2.135731003605341,1.6093887476969104,1.2470115718762078,67,16
3.8313385225165657,-0.9469150193919154,54.0,25.0,2.8092079084144443,2.0410090154720826,1.6191936265261306,87,15
4.293319058995088,-0.9248088492863679,-70.0,-8.0,-3.9951377326279163,1.4541112164703276,-0.5975145268512966,98,15
6.605443806221834,-0.9993480707731806,-70.0,-7.0,-6.160820117953449,2.24235514160345,-0.8050010995638531,150,15
7.21358273843757,-0.8015396148389861,56.0,19.0,5.6545141649359465,3.8140179628554374,2.3485128191771225,164,15
