range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.5286726832333972,-0.4500241508379638,70.0,-6.0,0.4940683526357059,0.17982617405233461,-0.05526134314997396,12,16
1.0128248642326396,-1.0952881156936147,70.0,-6.0,0.9465302975735276,0.34450885414789517,-0.10586902661750758,23,15
1.4985181767521574,-1.0756193410880062,55.0,25.0,1.112505703435661,0.7789848798469454,0.633301147045839,34,15
2.9164412837218037,-0.37197486931988083,52.0,25.0,2.0828648592101278,1.6273123764568103,1.2325413457953227,66,16
3.766665996005157,-1.0882047248582012,53.0,25.0,2.7263489391975346,2.0544512851257593,1.5918618357894998,86,15
4.231873920247921,-0.9657210329123913,-70.0,-7.0,-3.947019269159208,1.4365975280490921,-0.5157356960339815,96,15
6.549580158774488,-1.1099374861042484,-70.0,-8.0,-6.094696076772763,2.2182879588442876,-0.9115253806831632,149,15
7.48627827839371,-2.237293809016995,-70.0,-7.0,-6.982364119528618,2.5413727043167578,-0.9123478183360593,170,14
8.44206486003325,-1.0852875845620955,-70.0,-3.0,-7.922074226309557,2.8833992120241345,-0.44182353711479394,192,15
9.41940100429976,-2.2514886610321674,-70.0,-5.0,-8.817659588822018,3.2093656262231764,-0.8209548907677828,214,14
