range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.9392508948676431,-0.2069050852187738,70.0,-5.0,0.8792485483587309,0.32002030012434574,-0.08186110936859203,21,16
2.093219872373321,0.002497632299287538,55.0,25.0,1.554014547629566,1.088132700737774,0.8846329439035017,48,16
2.2747848850171155,-0.6019552671318207,51.0,25.0,1.602207055436377,1.2974416913647657,0.9613656339399502,52,16
3.171159473341435,-0.7171794400393783,-70.0,-10.0,-2.9346435493750596,1.0681229001538404,-0.5506660636369628,72,15
3.3119081048381243,-0.225877421932814,70.0,-8.0,3.0818881277675243,1.121715543845774,-0.46092852104509524,75,16
3.5603632811362798,-1.0149775891652408,-70.0,-5.0,-3.332915905296993,1.213082182840499,-0.31030610621892174,81,15
4.624162910840086,-0.6977670067056733,-70.0,-10.0,-4.279277018906063,1.5575294590612163,-0.802977462702389,105,15
7.348064001694963,-0.45753466333452764,-70.0,-3.0,-6.89545856449052,2.509741669090507,-0.3845679560630584,167,16
8.010163310231405,0.009888205447210334,-56.0,-11.0,-6.518717499545492,4.396930472333201,-1.528411214027313,182,16
8.233210828989678,-0.04427274198672832,36.0,25.0,4.385949565535332,6.03674168610123,3.479505249092321,187,16
