range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.2733252790906668,-0.04512346730415031,70.0,-8.0,1.1848897783978825,0.43126461022310597,-0.17721262762188889,29,16
2.09464814824287,-0.0005134010217335863,55.0,25.0,1.555074905171839,1.0888751710820712,0.8852365593687765,48,16
2.5024284505114642,-0.11469708887645408,70.0,-5.0,2.3425653299950784,0.8526240519421927,-0.218101010277198,57,16
5.200773962004811,-0.1329119589294278,70.0,-10.0,4.812882444941583,1.7517459509810815,-0.9031049209597566,118,16
