range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.7178551562606593,-0.020190654309177717,70.0,-4.0,0.6729199910962165,0.2449228468017008,-0.05007504435978165,16,16
1.2335152310418454,-0.01755856798840411,54.0,20.0,0.937751953239355,0.681316674748486,0.4218870561153273,28,16
2.8178377678109143,-0.01165725704741214,57.0,25.0,2.141820640502034,1.3909145872091764,1.1908696992995413,64,16
3.720860972141956,9.890696278367633,38.0,20.0,2.1526391687930433,2.75525249122772,1.2726094029868789,85,24
3.950532496518911,-0.025054292141509883,-70.0,-6.0,-3.6919499427346616,1.3437598855562276,-0.41294309095004833,90,16
6.259097352039611,-0.020607800190220238,-70.0,-9.0,-5.809214998802614,2.1143813440169246,-0.9791385459010422,142,16
6.9107462674024145,-0.021712196412450577,58.0,20.0,5.507205061665017,3.4412836577143864,2.3636144288643037,157,16
