range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.1548218195019957,0.7233052744183917,70.0,-8.0,1.0746166688655892,0.39112848071337464,-0.16072013367643773,26,17
2.0933828187791375,-0.000993418720886537,56.0,25.0,1.572890829772064,1.0609282607446084,0.8847018080302848,48,16
2.4924746031540934,-0.6721320592193815,53.0,25.0,1.8040770000560078,1.3594695300895037,1.0533652842178227,57,15
3.720585631416509,10.048113007217228,36.0,14.0,2.12194492849603,2.9206066358174327,0.9000911286931685,85,24
6.821754547847674,0.001767609764075558,-55.0,-20.0,-5.251053280793493,3.676827090752431,-2.333177468187394,155,16
8.010592597617904,0.0001956431041244041,-58.0,-15.0,-6.561889406944246,4.100323581017931,-2.0732939268207873,182,16
8.231848699108609,-0.003775541384725297,37.0,25.0,4.489894287622239,5.958290964012152,3.478929588129718,187,16
