range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.8251032580457005,-0.436395897469077,70.0,-5.0,0.7723930270888621,0.28112807101511444,-0.07191248729848569,19,16
1.6181132574233419,-1.0925815490427695,70.0,-8.0,1.505731403039631,0.5480414115063121,-0.2251978397401991,37,15
2.100957917456179,0.01726371058522936,55.0,25.0,1.5597593022956586,1.0921552212601375,0.8879031830656904,48,16
2.428290485941634,-1.0846682733858024,52.0,25.0,1.734237184664875,1.3549345853321426,1.0262399041701318,55,15
3.172449521563182,-0.35655409738385174,-70.0,-10.0,-2.9358373813863974,1.0685574194706815,-0.5508900781597715,72,16
3.2416553706925986,-0.38322086159223273,55.0,25.0,2.406617513499017,1.6851317245395194,1.3699827579245087,74,16
4.311618952049282,-1.0369271455523712,52.0,25.0,3.079273240182431,2.4057919226413,1.8221689068033238,98,15
6.631178678829358,-1.024541911388271,-70.0,-14.0,-6.046174331635248,2.2006274878995815,-1.6042273160424987,151,15
8.011150234850128,0.0012716363740234602,-58.0,-10.0,-6.690626998706425,4.180767756548732,-1.3911216392977257,182,16
8.231162373404475,-0.16778798589237556,38.0,25.0,4.592814015365042,5.87853386718558,3.478639534353649,187,16
9.030511451747532,-1.0537600904255944,-70.0,-6.0,-8.439418297792102,3.071697054917867,-0.9439454845721159,205,15
