range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.6468712238738015,-0.3241085158062091,70.0,-7.0,0.6033292185474458,0.21959387701435873,-0.07883377132118434,15,16
1.2386972637322997,-0.9174474214829551,-70.0,-5.0,-1.1595653269471018,0.4220472636959023,-0.1079595800600804,28,15
1.8460591114774054,-1.2078845573734132,70.0,-6.0,1.7252251024158058,0.627930584688214,-0.192965722023983,42,15
2.106918220637673,-0.16341344105427336,55.0,25.0,1.5641842544827513,1.0952536061377574,0.8904221160357008,48,16
3.0123144307261187,-0.326468153510098,-70.0,-7.0,-2.809550408851924,1.0225927204925398,-0.36710878180244266,68,16
3.986201298484587,-1.0040910917736885,56.0,25.0,2.995084994376943,2.0202103373741993,1.6846414637140752,91,15
4.453452642958888,-0.9118567431503322,-70.0,-7.0,-4.153683150139064,1.5118170292236928,-0.5427393494833184,101,15
6.746037587478744,-0.9459164100958758,-70.0,-6.0,-6.304474930082074,2.2946412172273734,-0.7051529421649816,153,15
8.009204206124068,-0.014768698271497795,40.0,25.0,4.665869362318528,5.5605665751183615,3.384835959518452,182,16
9.056516599388283,-0.8788531687357655,-70.0,-8.0,-8.427519756907166,3.067366340204551,-1.260423499033174,206,15
