range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.3349579518362649,-1.2037724087686485,70.0,-5.0,1.2496765749021552,0.45484507572412297,-0.11634925182918214,30,15
1.3957252726594147,-0.6599205882365928,54.0,24.0,1.0315439815325254,0.7494605720913562,0.5676926120575463,32,15
2.903153193152188,-0.34724035993288727,55.0,25.0,2.1553121846872587,1.5091658389132565,1.2269255560569388,66,16
4.545293913050613,-1.213832625543241,-70.0,-6.0,-4.247781183115522,1.5460659123301232,-0.4751125878309999,103,15
6.427857219861804,-0.8085895978232244,-70.0,-4.0,-6.025496348996835,2.1931013177145258,-0.44838465338827616,146,15
8.313505931334362,-0.811865568322965,-70.0,-4.0,-7.793110195701534,2.836460143591818,-0.5799208582207553,189,15
