range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.8403838445464402,-0.3521238879003838,70.0,-7.0,0.7838161746842806,0.2852857567214763,-0.1024170273431682,19,16
1.6354797501399936,-0.8885130705192248,-70.0,-8.0,-1.5218917511018928,0.553923297176357,-0.22761478838437593,37,15
2.0968760421748414,-0.010397180642797049,55.0,25.0,1.556728902263379,1.0900333123137445,0.886178108029649,48,16
4.363264718869687,-0.6663523538793277,-70.0,-13.0,-3.9950416525885677,1.4540762461958976,-0.9815209988911239,99,15
6.6439798368401,-0.7495705059434036,53.0,25.0,4.808976266924097,3.62382354278887,2.807867209685619,151,15
7.128547472476843,-0.779049769655963,-70.0,-10.0,-6.5968760109295355,2.4010665071231143,-1.237859278007806,162,15
8.006246580134267,-0.006737204656220752,39.0,25.0,4.566426554366092,5.63906716751284,3.383586012763763,182,16
9.014304110410368,-0.8357488007497442,-70.0,-7.0,-8.40753592672401,3.060092820851252,-1.0985673231900335,205,15
9.41975187861207,-0.8296412070807613,52.0,25.0,6.727401055508857,5.256021748415188,3.980959164967721,214,15
