range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.2651313917730558,-0.02454331598363355,70.0,-7.0,1.1799732400945249,0.42947513662505415,-0.1541807320366227,29,16
2.094205867657842,-0.0009714302287313287,55.0,25.0,1.554746554351011,1.0886452573621501,0.8850496435167305,48,16
2.4853094440840944,-0.06353699098769841,70.0,-5.0,2.326539940365048,0.8467912871243433,-0.21660899055691865,56,16
3.7853217398242562,-0.12409348392480297,-70.0,-10.0,-3.502999492604951,1.2749875459578126,-0.6573142220034963,86,16
5.1921778779315515,-0.1505352424580338,-70.0,-10.0,-4.804927486230883,1.74885058279557,-0.9016122266253633,118,16
6.822790975492482,-0.0021546185012712915,-57.0,-25.0,-5.18596020823914,3.3678019372506407,-2.883436062282764,155,16
7.473934131553709,-0.0882586844025314,-70.0,-8.0,-6.9548514447316405,2.531358909625612,-1.0401705894596034,170,16
8.234795276063295,-0.004575860755725378,37.0,25.0,4.491501438035283,5.960423724645347,3.480174865360393,187,16
