range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.1400958898130438,0.9537525919552559,70.0,-7.0,1.06335409102114,0.3870292376168892,-0.13894273751042302,26,17
2.092368867847247,0.0024663026903885723,55.0,25.0,1.5533827585704842,1.0876903172760466,0.8842732938499588,48,16
2.591380900544228,1.8758983392507367,-70.0,-8.0,-2.411403269385435,0.8776790128685034,-0.3606505156974272,59,17
4.005397204849724,1.8930253205951955,70.0,-9.0,3.7175030535342004,1.3530604572801659,-0.6265821690143026,91,18
4.919884394732957,1.8299784406640753,-70.0,-9.0,-4.566260054885425,1.6619827418970508,-0.7696394833498302,112,17
5.782111100226881,1.0352004421207255,-70.0,-11.0,-5.333580140930505,1.9412644133720411,-1.1032788101898592,131,17
7.208828496045903,1.8051469509894438,-70.0,-8.0,-6.708158032712678,2.4415698506611414,-1.0032750160839932,164,17
8.142429381908999,0.9755813997520131,47.0,25.0,5.397059127512116,5.032839057182015,3.4411393517287787,185,17
8.236082486572679,-0.02389746917706384,37.0,25.0,4.492203520802386,5.9613554199457806,3.480718864028363,187,16
8.834971369963357,1.3827960517071944,70.0,-5.0,8.270565185807882,3.0102395481923936,-0.7700184919034514,201,17
9.50841290514361,1.739719824638722,-70.0,-9.0,-8.824980944795348,3.212030381871936,-1.4874434861977681,216,17
