range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.082591941069502,0.9366018253282551,70.0,-9.0,1.0047789621924361,0.3657096342549328,-0.1693546911580727,25,17
2.0945329040607987,0.044843725316755484,55.0,25.0,1.5549893474443248,1.0888152629163135,0.8851878550728739,48,16
2.327429496655204,0.024291970298313884,56.0,24.0,1.762710169658765,1.1889630221595957,0.946650860465137,53,16
2.46904239529871,1.5932609632402923,70.0,-12.0,2.2694402735480437,0.8260087080164361,-0.5133427791072853,56,17
3.426953404198936,0.7761443586145356,-70.0,-8.0,-3.188943254610446,1.1606804234421904,-0.47693973210801843,78,17
3.510412982778411,0.9373140457802744,-70.0,-11.0,-3.2381025972809288,1.1785729609103384,-0.6698183746007287,80,17
4.796588093080824,1.5728416769112166,-70.0,-9.0,-4.451825866604096,1.620332103580233,-0.7503516923594398,109,17
6.82106347820731,0.10201276977811452,-56.0,-22.0,-5.243148583399242,3.5365483745730932,-2.5552153530449324,155,16
7.093411953448559,1.6054748464570723,-70.0,-10.0,-6.564361019130132,2.3892320179407216,-1.2317580591571626,161,17
8.007404972465876,0.040210908729191995,-57.0,-13.0,-6.543455127024496,4.249369445236889,-1.801274191114506,182,16
8.231426073644977,0.03825399239561812,37.0,25.0,4.489663775166979,5.95798506365208,3.478750978890911,187,16
9.405397979667859,1.5725077241024046,-70.0,-10.0,-8.703911216818732,3.167964604617741,-1.633230219401552,214,17
