range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.6714448899795684,-0.03518924305691851,70.0,-6.0,0.6274953883543335,0.22838964350028848,-0.07018510251848294,15,16
2.0976237021820627,-0.0036659723459497168,55.0,25.0,1.5572839679510488,1.0904219734924523,0.8864940828022739,48,16
3.052226791787934,-0.03320426492458481,52.0,25.0,2.179840191687939,1.7030778098474342,1.2899267811838084,69,16
3.719568629297715,9.826509280531916,37.0,16.0,2.151776886144768,2.855504374040905,1.0252520617594822,85,24
4.047565257403815,-0.06520527117804815,53.0,25.0,2.929666516107148,2.2076620686630846,1.710574993366047,92,16
6.804617449203076,-0.06422359405733127,-70.0,-5.0,-6.369916757110353,2.3184600943416642,-0.5930614878989692,155,16
8.009956794410098,-0.00019410332304972116,-58.0,-13.0,-6.618728852600674,4.135840808588149,-1.8018482261513566,182,16
