range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.8826396153202659,-0.4116037170554244,70.0,-5.0,0.8262537781277417,0.30073178118848903,-0.07692711125174506,20,16
1.7231814637903993,-1.0540305174395077,70.0,-6.0,1.6103904251308672,0.5861341802949311,-0.1801215103413161,39,15
2.095513600693048,-0.0711687167647606,55.0,25.0,1.555717420425783,1.0893250651062976,0.8856023153788901,48,16
2.5786048303745397,-1.4517918092582773,70.0,-4.0,2.4171933911222503,0.8797864448334818,-0.17987438014649626,59,15
3.295114200415829,-0.35368383751616567,45.0,25.0,2.111694964939141,2.111694964939141,1.3925754356168325,75,16
4.447765080430846,-1.0195897923177686,-70.0,-11.0,-4.102742249898882,1.4932760578295428,-0.8486735866678868,101,15
6.367578258798967,-1.014528581810602,52.0,25.0,4.547598838196911,3.552973607401893,2.691054855231489,145,15
6.73666976976324,-1.0204355834286754,-70.0,-12.0,-6.192064467667713,2.253727154888446,-1.4006324023123606,153,15
7.226594381136304,-1.0605625519018633,-70.0,-8.0,-6.724690034388511,2.4475870071839836,-1.0057475494033246,164,15
8.010886450547169,-0.004453577875085684,40.0,25.0,4.666849376376313,5.56173451039252,3.3855469067323662,182,16
9.105820279234896,-1.049425313423932,-70.0,-7.0,-8.492891986142924,3.091159885793994,-1.1097203385956333,207,15
9.534504518289827,-1.0505534465937956,-70.0,-7.0,-8.89272075794044,3.236685657531504,-1.161963805337393,217,15
