range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.7838635831832445,-0.37420783583927264,70.0,-4.0,0.7347965265917594,0.26744406392159453,-0.05467955945929797,18,16
1.5228228622635636,-0.9634165027890137,70.0,-5.0,1.4255400749353622,0.5188541550300836,-0.13272275763369562,35,15
2.1008338234159645,0.0043758493055389,55.0,25.0,1.559667174399152,1.092090712612524,0.8878507386581225,48,16
2.2495372411846084,-1.2618804492917048,-70.0,-6.0,-2.10229352526255,0.765172266886131,-0.23514067088438387,51,15
2.9907945909532776,-2.131683704513553,-70.0,-7.0,-2.7894791061965636,1.0152873637630404,-0.36448617305914255,68,14
3.2114123681786935,-0.3520792980258712,55.0,25.0,2.38416499119551,1.669410299170782,1.3572015127722625,73,16
7.009416488596787,-0.9930980443976474,-70.0,-6.0,-6.550614335277984,2.384228634198672,-0.7326835339559739,159,15
8.013911856207157,0.00030187664880291175,40.0,25.0,4.668611867032593,5.563834964964054,3.386825498413451,182,16
8.913100272428588,-0.7306452072585456,-70.0,-3.0,-8.364096120488833,3.0442820243993562,-0.46647562584679336,203,15
9.317625410986235,-0.9655050790265183,-70.0,-8.0,-8.670493934041996,3.155801708376953,-1.2967628220312586,212,15
