range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.2499517202167034,0.3058472838774321,70.0,-1.0,1.174391515064017,0.42744355485809077,-0.021814665448203593,28,16
2.0943968520676597,-0.0012296043180801235,55.0,25.0,1.554888341917212,1.0887445380848284,0.8851303570160272,48,16
2.8423436312374606,0.9566437156644645,70.0,-7.0,2.6510206337642894,0.964892601115725,-0.34639455207071196,65,17
3.742127511998547,0.822113761373235,-70.0,-9.0,-3.4731562791637964,1.2641255045703792,-0.5853977154518228,85,17
4.260302439524397,0.7583001363533103,-70.0,-6.0,-3.981443858896034,1.4491270540401227,-0.4453228670589204,97,17
5.1710032583131955,0.9456234276282114,70.0,-10.0,4.785332142194778,1.741718460836222,-0.8979352925158454,118,17
6.821692888514692,0.013268281183663884,-57.0,-22.0,-5.304560736686584,3.4448220209816482,-2.5554511342960415,155,16
7.447290712570214,0.934248368851534,-70.0,-6.0,-6.959827452129494,2.533170028203919,-0.7784538536924325,169,17
9.781226229390088,0.808518388479581,-70.0,-7.0,-9.122835209879408,3.3204404685117686,-1.1920316182729764,222,17
9.845568871217326,0.7419896183467716,70.0,-4.0,9.229271475415931,3.359180101013517,-0.6867921664610488,224,17
10.261675636583643,0.8901149896720022,70.0,-5.0,9.606127027928743,3.4963443047461236,-0.8943639619419953,233,17
