range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.6683955499631993,0.03582375752206443,70.0,-6.0,0.6246456432354837,0.22735242110178172,-0.06986635969259132,15,16
2.1138405674125016,-0.0013108914778992796,56.0,25.0,1.5882620294086247,1.0712962658135539,0.8933476261968453,48,16
3.055031591227641,0.04799720246273155,52.0,25.0,2.1818433241434785,1.7046428284429365,1.2911121406475488,69,16
4.039322210899888,0.09904719450052518,54.0,25.0,2.9617053760211087,2.151804911101444,1.7070913313811096,92,16
6.79893354537196,0.08216741214876926,-70.0,-6.0,-6.353908577036463,2.3126335932899944,-0.7106820753566299,155,16
8.010736415572497,-0.0007410868735319339,40.0,25.0,4.666761971488938,5.561630345303981,3.38548349921217,182,16
