range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.7075461030711381,-0.2742138758001068,70.0,-5.0,0.6623457985737039,0.24107415547210598,-0.06166670614137614,16,16
1.3707449965739682,-0.7916107892121527,-70.0,-6.0,-1.2810227269524905,0.4662541420292275,-0.14328186802370182,31,15
2.0976539797270006,0.00903123842181842,56.0,25.0,1.576100022962678,1.0630928888838704,0.8865068786456853,48,16
6.866516461215299,-0.8203114647447771,-70.0,-8.0,-6.389620391346585,2.325631630710521,-0.955634388700668,156,15
8.005754780945306,-0.012841168788743551,40.0,25.0,4.663859853402912,5.558171735648826,3.3833781694453995,182,16
8.758889770466435,-0.794790711013756,-70.0,-5.0,-8.199343921841022,2.9843171280616407,-0.7633875435898674,199,15
9.169250617091468,-0.8253612242160553,-70.0,-8.0,-8.532424126158062,3.105548408056348,-1.276113041860613,208,15
