range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.245519252095067,-1.3329480170198702,70.0,-7.0,1.1616812269870247,0.4228173883291169,-0.15179061345129619,28,15
2.8739741470634823,-0.32746415824942127,55.0,25.0,2.133649547758253,1.493997497238067,1.214593958319678,65,16
4.076489380343748,-0.9856970121406222,-70.0,-7.0,-3.802093927646368,1.3838490175475544,-0.4967990841805491,93,15
8.26812333339534,-0.9531270082854026,-70.0,-4.0,-7.750568386069452,2.8209761911739215,-0.5767551282191818,188,15
