range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.276310019971276,0.27900363748714097,70.0,-5.0,1.194775260207321,0.4348626313531216,-0.11123774776687499,29,16
2.094355958391093,-0.0008045986538100077,55.0,25.0,1.554857982293204,1.0887232800472408,0.8851130746015203,48,16
2.8597847657388233,0.8425842106131675,-70.0,-6.0,-2.6725972287043467,0.9727458394307247,-0.2989289068389256,65,17
5.193839791308364,1.0240762221117277,-70.0,-7.0,-4.8442335767930835,1.7631568297855824,-0.6329698451182786,118,17
7.514627912764591,0.9762352434236814,70.0,-9.0,6.974502348493999,2.5385112536715404,-1.1755467975097156,171,17
8.229103737129611,0.10182482085731645,39.0,25.0,4.693534910241512,5.796032914755241,3.4777695170696097,187,16
9.794464195456579,0.9679778836431681,-70.0,-7.0,-9.135182105872437,3.324934371138812,-1.1936449205055193,223,17
