range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.9563265467416642,0.8955756983486255,70.0,-7.0,0.8919545758529351,0.3246449159280041,-0.11654688833231869,22,17
2.095095062640243,0.0016145153537027303,55.0,25.0,1.5554066961529152,1.0891074936281306,0.8854254335545413,48,16
2.3276362937625477,-0.008403544315505749,57.0,25.0,1.769221604775089,1.1489459441900278,0.983701604434492,53,16
4.532833530113567,1.4008677792082636,51.0,25.0,3.1926262174947992,2.5853377348870588,1.9156582272565543,103,17
6.553412586061173,1.4602542471988504,70.0,-7.0,6.112291207961734,2.224692062865082,-0.7986600889263047,149,17
6.832812906132232,1.1727384363018407,49.0,25.0,4.673638353191564,4.0627318377786965,2.8876715131890207,155,17
7.040498570966629,0.6595119605128347,50.0,25.0,4.8880213337488705,4.101536898335354,2.975443267849795,160,17
8.009850574803316,-0.0013296721448572972,40.0,25.0,4.666245913064351,5.5610153308224906,3.3851091267261197,182,16
9.122993441025882,1.3861774595868306,50.0,25.0,6.333839303835418,5.31472222378446,3.8555436299181602,207,17
