range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.9666221806824908,-0.056490360279280935,-70.0,7.0,-0.9015571931138652,0.3281399827820335,0.11780161048062698,22,16
2.091838722189828,0.0032649128321520747,55.0,25.0,1.5529891763793036,1.0874147280588768,0.884049244613751,48,16
3.3440166526254895,-0.038594450802217024,70.0,-14.0,3.049006613894221,1.1097476515382805,-0.808990847520014,76,16
6.8124852747604505,-0.008130539007031739,-59.0,-23.0,-5.375232506165624,3.2297655310717412,-2.661850059223711,155,16
7.397470779647446,-0.16894409554325795,-70.0,-4.0,-6.934415568044427,2.5239208588003317,-0.5160214762134112,168,16
8.011659964684888,-6.25197571141527e-05,40.0,25.0,4.667299997414761,5.56227153963399,3.385873807932681,182,16
8.232662110865753,-0.0009423544503833907,36.0,25.0,4.385657255515922,6.036339355875341,3.479273350792602,187,16
