range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.2967089416669166,-0.02518551654074694,70.0,-2.0,1.2177655417482323,0.44323040951141307,-0.04525448943380808,29,16
2.094690079066493,-0.00042767414584149384,55.0,25.0,1.5551060347778418,1.088896968266856,0.8852542801005695,48,16
2.5454841218894186,-0.05564094845943805,70.0,-4.0,2.3861459205224635,0.8684860896859045,-0.17756399631466707,58,16
5.2623076173081325,-0.023319660205917477,70.0,-9.0,4.88407107597041,1.7776564936937338,-0.8232062769907297,120,16
6.808587198517303,-0.0001986431150262325,-58.0,-23.0,-5.3150036869058805,3.3211829092325633,-2.660326959494289,155,16
8.236067950266516,0.0011393204612480717,36.0,25.0,4.387471595042788,6.038836579997716,3.4807127207199207,187,16
