range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.2970469170703933,-0.0025837425309572586,70.0,-6.0,1.212148563623209,0.44118599666738023,-0.1355783210274158,29,16
2.0946162883840476,-0.0006541385296216111,55.0,25.0,1.5550512522891444,1.088858609155308,0.8852230948106218,48,16
2.915066145895299,-0.004730206717864974,-70.0,-9.0,-2.7055412345868763,0.9847364769694561,-0.4560168130900187,66,16
5.269555160747436,-0.0039708107983976735,70.0,-10.0,4.876533706540119,1.7749131155764397,-0.9150486507791604,120,16
