range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
0.7043497054374916,0.9957382182512591,70.0,-13.0,0.6449084785165671,0.23472749000593512,-0.1584442088649545,16,17
1.4487577815062216,0.06573639623013307,52.0,19.0,1.0794387170241244,0.8433499543058003,0.4716693971804252,33,16
1.7598848808524223,1.9129721742517567,51.0,25.0,1.239545766032441,1.003764369747545,0.7437594892095887,40,18
2.100395900188513,-0.007101870019781455,54.0,25.0,1.5400489251822134,1.1189110393538242,0.887665664304961,48,16
2.237993702523991,-0.05422568583848904,56.0,25.0,1.6815461272585348,1.1342171842992805,0.9458170083473211,51,16
3.1013520350758825,0.9541021016609252,55.0,-25.0,2.30245577325043,1.6121968888244171,-1.3106880061097501,70,17
4.048600152822024,1.976699387079131,-25.0,19.0,-1.617793968579534,3.469370361577434,1.318095279889229,92,18
5.494240613660418,1.9331374649075648,-24.0,21.0,-2.0862805658672783,4.685862871619603,1.9689597430259962,125,18
6.33030977574356,2.006565753046899,-25.0,17.0,-2.558406430105372,5.486520294837124,1.8508034605571502,144,18
8.007017042293603,-0.028660768638063442,40.0,25.0,4.664595200685948,5.55904808841519,3.3839116241422786,182,16
8.22982929846085,-0.00023896694108102362,36.0,25.0,4.384148175693408,6.034262285691085,3.478076152538204,187,16
8.446501835807654,1.9198506362164531,-24.0,19.0,-3.2483307707024887,7.295870364802413,2.749912014302884,192,18
8.629315318896802,2.0116754968209594,-25.0,18.0,-3.4684139439498747,7.438037705992358,2.6666050833591806,196,18
