range_m,velocity_mps,azimuth_deg,elevation_deg,x_m,y_m,z_m,r_idx,d_idx
1.3113137344214751,-0.02816423518153682,70.0,-6.0,1.2254815448222613,0.44603880495786624,-0.13706960952084465,30,16
2.094682290198121,-0.00043918147644721867,55.0,25.0,1.5551002522917687,1.088892919326518,0.8852509883825571,48,16
5.262208709034072,-0.09278990258475803,-70.0,-7.0,-4.908000466062582,1.7863660794114287,-0.6413019202308311,120,16
7.56346754494065,-0.059662038691250224,-70.0,-7.0,-7.05435764489697,2.5675762046107264,-0.9217548235680598,172,16
8.060939804005226,-0.056385129478424174,-70.0,-8.0,-7.501088162537235,2.730172815770116,-1.1218659891758294,183,16
