time_s,detected_x_m,detected_y_m,true_x_m,true_y_m,position_error_m
0.0,5.004440005310167,8.00006182030612,5.0,8.0,0.0044404356660762145
0.2,4.939753148593533,7.877257624876542,4.941000000000001,7.8786,0.0018321051830857793
0.4,4.886568182335912,7.7543670213635485,4.8839999999999995,7.7543999999999995,0.0025683940704175957
0.6000000000000001,4.829444804169237,7.628458796823002,4.829000000000001,7.6274,0.0011484343522249363
0.8,4.772691914963559,7.49708310186987,4.776,7.497599999999999,0.0033482249454380953
1.0,4.725240505342175,7.365046105408915,4.7250000000000005,7.365,0.00024488472460626074
1.2000000000000002,4.67610724982371,7.232306801552234,4.675999999999999,7.2296000000000005,0.0027089254636956882
1.4000000000000001,4.624984101352732,7.0942537425129775,4.6290000000000004,7.0914,0.004926589923619268
1.6,4.5814098853780445,6.949839209488898,4.584,6.9504,0.002650128252030049
1.8,4.539058843665966,6.804907636251745,4.541,6.8065999999999995,0.00257530250059447
2.0,4.498752268561758,6.660404614241587,4.5,6.66,0.0013116960114568652
2.2,4.45885733556456,6.514709139534997,4.461,6.510599999999999,0.0046342247033327
2.4000000000000004,4.4252905209982085,6.360598629241589,4.424,6.3584,0.002549395024076933
2.6,4.391942040918923,6.204028538996076,4.388999999999999,6.203399999999999,0.0030084324885575947
2.8000000000000003,4.357445490784251,6.046668950133198,4.356,6.0456,0.001797803658528465
3.0,4.327057347898533,5.88503485264353,4.324999999999999,5.885,0.0020576430891586193
3.2,4.297269157576983,5.7216613515585415,4.296,5.7216,0.001270639590500448
3.4000000000000004,4.268920866542986,5.556033969654175,4.269,5.5554,0.0006388893694796344
3.6,4.244182599326468,5.386367064541915,4.244,5.3864,0.0001855458391500655
3.8000000000000003,4.2202660546506765,5.214789750617683,4.221,5.2146,0.0007580772208059844
4.0,4.200798486676735,5.03826716866332,4.2,5.039999999999999,0.0019079532002385252
4.2,4.181102603985248,4.860592299725776,4.181,4.8626000000000005,0.0020103203647450943
4.4,4.162854734025023,4.680524989451336,4.164,4.6823999999999995,0.002197111447113587
4.6000000000000005,4.1493299765136875,4.495656650520533,4.149,4.4994,0.003757865062107652
4.800000000000001,4.135727333693591,4.312733213331728,4.136,4.313599999999999,0.0009086616768321688
5.0,4.125550653324768,4.128023160553376,4.125,4.125,0.00307290071684151
5.2,4.117611073354531,3.933111633674256,4.116,3.9335999999999998,0.001683466370855089
5.4,4.1068860990970775,3.7381148558004194,4.109,3.7394,0.002473898268137148
5.6000000000000005,4.106516638750253,3.543343907596359,4.104,3.5423999999999993,0.0026878303796443142
5.800000000000001,4.099951482506918,3.34084649040533,4.101,3.342599999999999,0.0020430821892169428
6.0,4.101440786503972,3.1414274830696076,4.1000000000000005,3.14,0.0020281946810016584
6.2,4.102653928914173,2.935110691534013,4.101,2.9345999999999997,0.0017309785371434586
6.4,4.10292704411906,2.7268677165555544,4.104,2.7264,0.001170467043014976
6.6000000000000005,4.110731202442966,2.515613205250061,4.109,2.5153999999999996,0.0017442816220968325
6.800000000000001,4.11729505416744,2.3028298364245425,4.1160000000000005,2.3015999999999996,0.0017859627453377038
7.0,4.12283079543847,2.0837640826148434,4.125,2.085,0.002496585711065022
7.2,4.135064313411718,1.8654716629922834,4.136,1.8655999999999995,0.0009444468111233145
7.4,4.148141726767688,1.6429098761822734,4.149,1.6433999999999993,0.000988359397186146
7.6000000000000005,4.161928911857175,1.4175372311762942,4.164,1.4183999999999992,0.0022436078397317506
7.800000000000001,4.181030988188674,1.190249465562231,4.181,1.190599999999999,0.0003519014917537741
8.0,4.200377263746586,0.9600335411391653,4.2,0.96,0.0003787518217836415
8.200000000000001,4.21844057276145,0.7265834551204646,4.221,0.7265999999999981,0.0025594807134399007
8.4,4.243937989283788,0.4902463558066596,4.244,0.4903999999999997,0.00016568604972123493
8.6,4.2676044553294625,0.25255430932970063,4.269,0.25140000000000073,0.001811070113523526
8.8,4.298413979846894,0.009193307193337965,4.296,0.009599999999998943,0.0024479987214458426
9.0,4.326896611235207,-0.23520827362288532,4.325,-0.23499999999999988,0.00190801259940873
9.200000000000001,4.356627038712964,-0.48202226903183776,4.356,-0.48240000000000105,0.0007320233820481791
9.4,4.391454263591225,-0.7326116135550933,4.389000000000001,-0.7326000000000006,0.002454291068693384
9.600000000000001,4.424379037938655,-0.9866696534352796,4.424,-0.985600000000002,0.0011348251982312286
9.8,4.4626352807329965,-1.2416040831741972,4.461,-1.241400000000001,0.0016479663278413004
10.0,4.501559548367333,-1.5011570732228579,4.5,-1.5000000000000004,0.0019419087396438672
10.200000000000001,4.541620445017661,-1.7606349723107926,4.541,-1.761400000000001,0.0009849971498412276
10.4,4.586020968829522,-2.0270768112442,4.5840000000000005,-2.0256000000000007,0.0025030554250536022
10.600000000000001,4.630503453863677,-2.293358918572861,4.629000000000001,-2.2926000000000015,0.001684141003726593
10.8,4.674184164685082,-2.560498742626433,4.676,-2.562400000000001,0.0026290754061933487
11.0,4.724633533302604,-2.8346650539005167,4.7250000000000005,-2.835,0.0004964742992945137
11.200000000000001,4.775132226036458,-3.1097693251319933,4.776000000000001,-3.110400000000002,0.001072745282413371
11.4,4.8277249924809205,-3.3873089068617332,4.829000000000001,-3.3886000000000003,0.001814542825449749
11.600000000000001,4.883214128152298,-3.670288003432271,4.884,-3.6696000000000026,0.0010444823042176866
11.8,4.941385077424367,-3.9553636498264315,4.941000000000001,-3.953400000000001,0.002001051039727997
12.0,5.000510898056369,-4.240482232959758,5.0,-4.24,0.0007025421350201448
