RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

FRAME 0 | Timestamp: 1773105864.5191 | Latency: 31.66ms
  > R: 1.180m | V:-1.027m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V:-1.009m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V:-0.938m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V:-0.866m/s | A:-44.76deg | X:-0.831 | Y: 0.838
  > R: 1.180m | V:-0.844m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.829m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.788m/s | A:-66.04deg | X:-1.079 | Y: 0.479
  > R: 1.180m | V:-0.748m/s | A:-55.22deg | X:-0.970 | Y: 0.673
  > R: 1.180m | V:-0.718m/s | A:-47.15deg | X:-0.865 | Y: 0.803
  > R: 1.180m | V:-0.603m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.559m/s | A:-48.56deg | X:-0.885 | Y: 0.781
  > R: 1.180m | V:-0.511m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.455m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.416m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.370m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.320m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.305m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.279m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.254m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.207m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.182m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.130m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.107m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.084m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.012m/s | A: 20.75deg | X: 0.418 | Y: 1.104
  > R: 1.180m | V: 0.159m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.259m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.313m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 0.373m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.414m/s | A:-67.82deg | X:-1.093 | Y: 0.446
  > R: 1.180m | V: 0.455m/s | A: -2.80deg | X:-0.058 | Y: 1.179
  > R: 1.180m | V: 0.487m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.544m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.590m/s | A:-69.30deg | X:-1.104 | Y: 0.417
  > R: 1.180m | V: 0.605m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.640m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.660m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.696m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 0.717m/s | A:  7.72deg | X: 0.159 | Y: 1.170
  > R: 1.180m | V: 0.738m/s | A:  6.67deg | X: 0.137 | Y: 1.172
  > R: 1.180m | V: 0.759m/s | A: 53.16deg | X: 0.945 | Y: 0.708
  > R: 1.180m | V: 0.854m/s | A:-11.02deg | X:-0.226 | Y: 1.159
  > R: 1.180m | V: 0.905m/s | A:-62.07deg | X:-1.043 | Y: 0.553
  > R: 1.180m | V: 0.921m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V: 0.959m/s | A:-57.52deg | X:-0.996 | Y: 0.634
  > R: 1.180m | V: 1.006m/s | A:-59.54deg | X:-1.018 | Y: 0.598
  > R: 1.180m | V: 1.036m/s | A:-47.99deg | X:-0.877 | Y: 0.790
  > R: 1.180m | V: 1.127m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.148m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.228m/s | A:-22.63deg | X:-0.454 | Y: 1.090
  > R: 1.180m | V: 1.258m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V: 1.302m/s | A:-61.29deg | X:-1.035 | Y: 0.567
  > R: 1.180m | V: 1.352m/s | A:-62.42deg | X:-1.046 | Y: 0.547

FRAME 1 | Timestamp: 1773105865.2973 | Latency: 33.72ms
  > R:-0.019m | V:-1.374m/s | A:-57.29deg | X: 0.016 | Y:-0.010
  > R:-0.019m | V:-1.335m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R:-0.019m | V:-1.307m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R:-0.019m | V:-1.247m/s | A:-70.83deg | X: 0.018 | Y:-0.006
  > R:-0.019m | V:-1.168m/s | A:-71.20deg | X: 0.018 | Y:-0.006
  > R:-0.019m | V:-1.146m/s | A:-70.04deg | X: 0.018 | Y:-0.006
  > R:-0.019m | V:-1.103m/s | A:-69.97deg | X: 0.018 | Y:-0.006
  > R:-0.019m | V:-1.074m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-1.021m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.961m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.929m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.848m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.823m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.755m/s | A: 36.50deg | X:-0.011 | Y:-0.015
  > R:-0.019m | V:-0.510m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.453m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.425m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.404m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.380m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.361m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.324m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.304m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.258m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.227m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.204m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.172m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.151m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.129m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.074m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.021m/s | A: 36.50deg | X:-0.011 | Y:-0.015
  > R:-0.019m | V: 0.015m/s | A:-35.36deg | X: 0.011 | Y:-0.015
  > R:-0.019m | V: 0.160m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.237m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.340m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.368m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.416m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.454m/s | A: -1.98deg | X: 0.001 | Y:-0.019
  > R:-0.019m | V: 0.488m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.519m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.562m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.583m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.610m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.640m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.659m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.680m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.703m/s | A: 63.07deg | X:-0.017 | Y:-0.008
  > R:-0.019m | V: 0.738m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.757m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.848m/s | A: 63.07deg | X:-0.017 | Y:-0.008
