RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

  > R: 1.180m | V:-1.378m/s | A:-33.51deg | X:-0.652 | Y: 0.984
  > R: 1.180m | V:-1.366m/s | A: 38.20deg | X: 0.730 | Y: 0.928
  > R: 1.180m | V:-1.227m/s | A:-68.11deg | X:-1.095 | Y: 0.440
  > R: 1.180m | V:-1.136m/s | A:-63.17deg | X:-1.053 | Y: 0.533
  > R: 1.180m | V:-1.109m/s | A:-70.86deg | X:-1.115 | Y: 0.387
  > R: 1.180m | V:-1.075m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-1.029m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V:-0.933m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.852m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.749m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.599m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.510m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.450m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.379m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.357m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.301m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.278m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.250m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.228m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.204m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.148m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.128m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.015m/s | A:-34.22deg | X:-0.664 | Y: 0.976
  > R: 1.180m | V: 0.160m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.323m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.410m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.448m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.536m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.549m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.593m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.691m/s | A:-13.98deg | X:-0.285 | Y: 1.145
  > R: 1.180m | V: 0.740m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 0.849m/s | A: 49.24deg | X: 0.894 | Y: 0.771
  > R: 1.180m | V: 0.997m/s | A:-68.16deg | X:-1.096 | Y: 0.439
  > R: 1.180m | V: 1.018m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.233m/s | A: 38.56deg | X: 0.736 | Y: 0.923
  > R: 1.180m | V: 1.354m/s | A: 32.18deg | X: 0.629 | Y: 0.999

FRAME 3 | Timestamp: 1773106634.8721 | Latency: 16.60ms
  > R: 0.137m | V:-0.604m/s | A:-55.59deg | X:-0.113 | Y: 0.077
  > R: 0.171m | V: 0.159m/s | A:-90.00deg | X:-0.171 | Y: 0.000
  > R: 0.256m | V: 0.159m/s | A:-90.00deg | X:-0.256 | Y: 0.000
  > R: 1.095m | V:-0.604m/s | A:-90.00deg | X:-1.095 | Y: 0.000
  > R: 1.125m | V:-0.741m/s | A:-90.00deg | X:-1.125 | Y: 0.000
  > R: 1.180m | V:-1.391m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-1.370m/s | A: 38.84deg | X: 0.740 | Y: 0.919
  > R: 1.180m | V:-1.265m/s | A:-47.30deg | X:-0.868 | Y: 0.801
  > R: 1.180m | V:-1.249m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-1.018m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.944m/s | A: 37.40deg | X: 0.717 | Y: 0.938
  > R: 1.180m | V:-0.601m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.509m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.016m/s | A:-34.72deg | X:-0.672 | Y: 0.970
  > R: 1.180m | V: 0.160m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.338m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.610m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.854m/s | A: 53.02deg | X: 0.943 | Y: 0.710
  > R: 1.180m | V: 0.997m/s | A:-68.04deg | X:-1.095 | Y: 0.441
  > R: 1.180m | V: 1.019m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.120m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 1.234m/s | A: 40.01deg | X: 0.759 | Y: 0.904
  > R: 1.180m | V: 1.353m/s | A: 27.52deg | X: 0.545 | Y: 1.047

FRAME 4 | Timestamp: 1773106635.0311 | Latency: 26.16ms
  > R: 0.951m | V:-0.585m/s | A:-90.00deg | X:-0.951 | Y: 0.000
  > R: 0.966m | V:-0.606m/s | A:-90.00deg | X:-0.966 | Y: 0.000
  > R: 0.990m | V: 0.312m/s | A:-90.00deg | X:-0.990 | Y: 0.000
  > R: 1.057m | V: 0.154m/s | A:-90.00deg | X:-1.057 | Y: 0.000
  > R: 1.087m | V:-1.381m/s | A:-70.09deg | X:-1.022 | Y: 0.370
  > R: 1.113m | V: 0.153m/s | A:-90.00deg | X:-1.113 | Y: 0.000
  > R: 1.180m | V:-1.395m/s | A:-19.61deg | X:-0.396 | Y: 1.112
  > R: 1.180m | V:-1.368m/s | A: 39.01deg | X: 0.743 | Y: 0.917
  > R: 1.180m | V: 0.015m/s | A:-35.06deg | X:-0.678 | Y: 0.966
  > R: 1.180m | V: 0.854m/s | A: 47.07deg | X: 0.864 | Y: 0.804
  > R: 1.180m | V: 1.015m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.234m/s | A: 28.43deg | X: 0.562 | Y: 1.038
  > R: 1.180m | V: 1.351m/s | A: 28.87deg | X: 0.570 | Y: 1.034

FRAME 5 | Timestamp: 1773106635.1549 | Latency: 7.83ms
  > R: 0.783m | V:-0.566m/s | A:-90.00deg | X:-0.783 | Y: 0.000
  > R: 0.991m | V: 0.163m/s | A:-90.00deg | X:-0.991 | Y: 0.000
  > R: 1.180m | V: 0.015m/s | A:-35.28deg | X:-0.682 | Y: 0.964
  > R: 1.180m | V: 0.854m/s | A: 43.72deg | X: 0.816 | Y: 0.853
  > R: 1.180m | V: 0.998m/s | A:-62.80deg | X:-1.050 | Y: 0.540
  > R: 1.180m | V: 1.017m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.233m/s | A: 41.25deg | X: 0.778 | Y: 0.887
  > R: 1.180m | V: 1.352m/s | A: 26.63deg | X: 0.529 | Y: 1.055

FRAME 6 | Timestamp: 1773106635.2824 | Latency: 15.43ms
  > R: 0.515m | V:-1.334m/s | A:-90.00deg | X:-0.515 | Y: 0.000
  > R: 0.512m | V:-1.313m/s | A:-90.00deg | X:-0.512 | Y: 0.000
  > R: 0.894m | V: 0.187m/s | A:-90.00deg | X:-0.894 | Y: 0.000
  > R: 1.180m | V:-1.376m/s | A: 47.94deg | X: 0.876 | Y: 0.791
  > R: 1.180m | V: 0.015m/s | A:-34.29deg | X:-0.665 | Y: 0.975
  > R: 1.180m | V: 0.855m/s | A: 45.65deg | X: 0.844 | Y: 0.825
  > R: 1.180m | V: 1.009m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.193m/s | A: 48.54deg | X: 0.885 | Y: 0.782
  > R: 1.180m | V: 1.234m/s | A: 24.37deg | X: 0.487 | Y: 1.075
  > R: 1.180m | V: 1.351m/s | A: 42.47deg | X: 0.797 | Y: 0.871

FRAME 7 | Timestamp: 1773106635.4110 | Latency: 16.06ms
  > R: 0.151m | V:-0.603m/s | A: 61.04deg | X: 0.132 | Y: 0.073
  > R: 0.203m | V:-1.268m/s | A: 61.04deg | X: 0.177 | Y: 0.098
  > R: 0.659m | V: 0.220m/s | A: 61.04deg | X: 0.577 | Y: 0.319
  > R: 1.180m | V:-1.366m/s | A: 38.26deg | X: 0.731 | Y: 0.927
  > R: 1.180m | V:-1.255m/s | A:-52.56deg | X:-0.937 | Y: 0.718
  > R: 1.180m | V:-0.751m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V:-0.334m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 0.015m/s | A:-34.82deg | X:-0.674 | Y: 0.969
  > R: 1.180m | V: 0.856m/s | A: 43.75deg | X: 0.816 | Y: 0.853
  > R: 1.180m | V: 0.991m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.009m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.195m/s | A: 37.45deg | X: 0.718 | Y: 0.937
  > R: 1.180m | V: 1.216m/s | A: 35.91deg | X: 0.692 | Y: 0.956
  > R: 1.180m | V: 1.233m/s | A: 34.19deg | X: 0.663 | Y: 0.976
  > R: 1.180m | V: 1.354m/s | A: 33.69deg | X: 0.655 | Y: 0.982

FRAME 8 | Timestamp: 1773106635.5393 | Latency: 15.91ms
  > R: 0.206m | V: 0.973m/s | A:-90.00deg | X:-0.206 | Y: 0.000
  > R: 0.231m | V: 0.587m/s | A:-90.00deg | X:-0.231 | Y: 0.000
  > R: 0.689m | V: 0.300m/s | A: 48.36deg | X: 0.515 | Y: 0.458
  > R: 1.180m | V:-1.359m/s | A:-50.09deg | X:-0.906 | Y: 0.757
  > R: 1.180m | V: 0.015m/s | A:-34.87deg | X:-0.675 | Y: 0.968
  > R: 1.180m | V: 0.856m/s | A: 44.78deg | X: 0.832 | Y: 0.838
  > R: 1.180m | V: 0.975m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 1.198m/s | A: 32.43deg | X: 0.633 | Y: 0.996
  > R: 1.180m | V: 1.218m/s | A: 38.68deg | X: 0.738 | Y: 0.922
  > R: 1.180m | V: 1.359m/s | A:-45.38deg | X:-0.840 | Y: 0.829

FRAME 9 | Timestamp: 1773106635.6512 | Latency: 16.12ms
  > R: 0.091m | V: 0.225m/s | A: 46.94deg | X: 0.066 | Y: 0.062
  > R:-44.123m | V: 1.213m/s | A: 36.27deg | X:-26.106 | Y:-35.572
  > R: 0.183m | V: 0.974m/s | A:-90.00deg | X:-0.183 | Y: 0.000
  > R: 0.434m | V:-1.377m/s | A:-90.00deg | X:-0.434 | Y: 0.000
  > R: 1.135m | V: 0.223m/s | A: 34.15deg | X: 0.637 | Y: 0.940
  > R: 1.180m | V:-1.374m/s | A: 39.91deg | X: 0.757 | Y: 0.906
  > R: 1.180m | V:-1.226m/s | A:-68.34deg | X:-1.097 | Y: 0.436
  > R: 1.180m | V:-1.085m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.936m/s | A: 45.92deg | X: 0.848 | Y: 0.821
  > R: 1.180m | V:-0.855m/s | A: 36.80deg | X: 0.707 | Y: 0.945
  > R: 1.180m | V:-0.754m/s | A: 32.18deg | X: 0.629 | Y: 0.999
  > R: 1.180m | V:-0.628m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.360m/s | A: 39.13deg | X: 0.745 | Y: 0.916
  > R: 1.180m | V:-0.217m/s | A: 23.52deg | X: 0.471 | Y: 1.082
  > R: 1.180m | V: 0.015m/s | A:-34.85deg | X:-0.675 | Y: 0.969
  > R: 1.180m | V: 0.610m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.737m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.857m/s | A: 48.77deg | X: 0.888 | Y: 0.778
  > R: 1.180m | V: 0.973m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.064m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.094m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.198m/s | A: 44.03deg | X: 0.820 | Y: 0.849
  > R: 1.180m | V: 1.214m/s | A: 37.17deg | X: 0.713 | Y: 0.941
  > R: 1.180m | V: 1.242m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.302m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.360m/s | A:-58.84deg | X:-1.010 | Y: 0.611

FRAME 10 | Timestamp: 1773106635.7900 | Latency: 26.41ms
  > R: 1.119m | V: 0.236m/s | A: 30.68deg | X: 0.571 | Y: 0.963
  > R: 1.180m | V:-1.375m/s | A:-66.25deg | X:-1.080 | Y: 0.475
  > R: 1.180m | V:-1.262m/s | A:-50.51deg | X:-0.911 | Y: 0.751
  > R: 1.180m | V:-1.223m/s | A:-69.90deg | X:-1.109 | Y: 0.406
  > R: 1.180m | V:-1.082m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.936m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.877m/s | A:-58.46deg | X:-1.006 | Y: 0.617
  > R: 1.180m | V:-0.856m/s | A: 37.88deg | X: 0.725 | Y: 0.932
  > R: 1.180m | V:-0.756m/s | A: 28.44deg | X: 0.562 | Y: 1.038
  > R: 1.180m | V:-0.629m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.378m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.359m/s | A: 39.37deg | X: 0.749 | Y: 0.912
  > R: 1.180m | V:-0.217m/s | A: 22.52deg | X: 0.452 | Y: 1.090
  > R: 1.180m | V:-0.115m/s | A: 22.86deg | X: 0.459 | Y: 1.088
  > R: 1.180m | V: 0.015m/s | A:-34.78deg | X:-0.673 | Y: 0.970
  > R: 1.180m | V: 0.124m/s | A:-59.26deg | X:-1.015 | Y: 0.603
  > R: 1.180m | V: 0.455m/s | A: -2.24deg | X:-0.046 | Y: 1.180
  > R: 1.180m | V: 0.614m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.738m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.856m/s | A: 43.21deg | X: 0.808 | Y: 0.860
  > R: 1.180m | V: 0.973m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.062m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.094m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.195m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.214m/s | A: 34.58deg | X: 0.670 | Y: 0.972
  > R: 1.180m | V: 1.303m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.359m/s | A:-59.53deg | X:-1.017 | Y: 0.599

FRAME 11 | Timestamp: 1773106635.9388 | Latency: 15.95ms
  > R: 0.748m | V: 0.345m/s | A: 38.30deg | X: 0.463 | Y: 0.587
  > R: 1.180m | V:-1.372m/s | A: 40.51deg | X: 0.767 | Y: 0.898
  > R: 1.180m | V: 0.015m/s | A:-34.71deg | X:-0.672 | Y: 0.970
  > R: 1.180m | V: 0.856m/s | A: 47.81deg | X: 0.875 | Y: 0.793
  > R: 1.180m | V: 0.973m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.063m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.094m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.195m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.215m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 1.233m/s | A: 44.96deg | X: 0.834 | Y: 0.835
  > R: 1.180m | V: 1.360m/s | A:-62.12deg | X:-1.043 | Y: 0.552

FRAME 12 | Timestamp: 1773106636.0643 | Latency: 15.92ms
  > R: 0.192m | V: 1.235m/s | A: 36.06deg | X: 0.113 | Y: 0.155
  > R: 1.100m | V: 0.249m/s | A: 21.07deg | X: 0.395 | Y: 1.026
  > R: 1.180m | V:-1.365m/s | A: 40.36deg | X: 0.765 | Y: 0.899
  > R: 1.180m | V:-1.260m/s | A:-33.89deg | X:-0.658 | Y: 0.980
  > R: 1.180m | V:-1.233m/s | A:-62.63deg | X:-1.048 | Y: 0.543
  > R: 1.180m | V:-1.078m/s | A: 32.78deg | X: 0.639 | Y: 0.992
  > R: 1.180m | V:-1.021m/s | A:-67.78deg | X:-1.093 | Y: 0.446
  > R: 1.180m | V:-1.002m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.934m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.838m/s | A:-69.49deg | X:-1.106 | Y: 0.414
  > R: 1.180m | V:-0.789m/s | A:-73.93deg | X:-1.134 | Y: 0.327
  > R: 1.180m | V:-0.752m/s | A: 29.44deg | X: 0.580 | Y: 1.028
  > R: 1.180m | V:-0.628m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.598m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.398m/s | A: 38.38deg | X: 0.733 | Y: 0.925
  > R: 1.180m | V:-0.381m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.215m/s | A: 24.48deg | X: 0.489 | Y: 1.074
  > R: 1.180m | V:-0.115m/s | A: 23.73deg | X: 0.475 | Y: 1.081
  > R: 1.180m | V: 0.015m/s | A:-34.76deg | X:-0.673 | Y: 0.970
  > R: 1.180m | V: 0.128m/s | A:-55.51deg | X:-0.973 | Y: 0.668
  > R: 1.180m | V: 0.155m/s | A:-57.62deg | X:-0.997 | Y: 0.632
  > R: 1.180m | V: 0.239m/s | A: 38.84deg | X: 0.740 | Y: 0.919
  > R: 1.180m | V: 0.453m/s | A: -4.25deg | X:-0.087 | Y: 1.177
